,Phenylalanine,Valine,Threonine,Tryptophan,Methionine,Leucine,Isoleucine,Lysine,Histidine,Alpha-linolenic acid,Linolenic acid,"Vitamin A, total","Vitamin C, total",Vitamin D,"Vitamin E, total","Vitamin K, phylloquinone (K1)",Vitamin B1 (as thiamin hydrochloride),Vitamin B2 (riboflavin),Vitamin B3,Vitamin B5,"Vitamin B6 (as pyridoxinehydrochloride), total",Vitamin B7,Vitamin B9,Vitamin B12 (as cyanocobalamin),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Magnesium (Mg),Iron (Fe),Zinc (Zn),Iodine (I),Manganese (Mn),Copper (Cu),Chromium (Cr),Selenium (Se),Cl,Mo,Co
"Hummus, home prepared",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.399,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Hush puppies, prepared from recipe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.782,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Hyacinth beans, mature seeds, cooked, boiled, with salt",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.411,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Hyacinth beans, mature seeds, cooked, boiled, without salt",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.411,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Hyacinth beans, mature seeds, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.61,1.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.48,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.48,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Hyacinth-beans, immature seeds, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.52,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0001,0,0.0,0,0.0,0.0,0.0,0.0,0.8290000000000001,0.43799999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice cream cones, cake or wafer-type",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.427,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice cream cones, sugar, rolled-type",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,5.066,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ice cream cookie sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.237,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ice cream sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5659999999999998,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice cream sandwich, made with light ice cream, vanilla",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice cream sandwich, vanilla, light, no sugar added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice cream, bar or stick, chocolate covered",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0002,0,0.0,0,0.0,0.0,0.0,0.0,0.175,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice cream, dairy (cream based)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.4,0.0,0.05,0.16,0.9,0.0,0.07,0.0,0.002,0.00036,62.0,149.0,108.0,86.0,14.0,0.11,0.53,0.0,0.008,0.0,0.002,0.00084,0,0,0
"Ice cream, dairy, (wholemilk based)",220.0,290.0,190.0,56.0,110.0,400.0,220.0,330.0,120.0,0,0.0,0,0.0,0,0.4,0.0,0.04,0.18,0.9329999999999999,0.0,0.02,0.0,0.002,0.0,80.0,180.0,140.0,100.0,13.0,0.2,0.4,0.0,0.008,0.03,0.002,0.0002,0,0,0
"Ice cream, dairy, 3 coloured",220.0,290.0,190.0,56.0,110.0,400.0,220.0,330.0,120.0,0,0.0,0,0.0,0,0.3,0.0,0.05,0.17,0.9329999999999999,0.0,0.09,0.0,0.002,0.00047000000000000004,44.0,190.0,156.0,116.0,14.0,0.1,0.53,0.015,0.008,0.009000000000000001,0.002,0.0003,0,0,0
"Ice cream, dairy, nougat",220.0,290.0,190.0,56.0,110.0,400.0,220.0,330.0,120.0,0,0.0,0,0.0,0,0.3,0.0,0.05,0.17,0.9329999999999999,0.0,0.09,0.0,0.002,0.00047000000000000004,44.0,190.0,156.0,116.0,14.0,0.1,0.53,0.015,0.008,0.009000000000000001,0.002,0.0003,0,0,0
"Ice cream, dairy, vanilla",220.0,290.0,190.0,56.0,110.0,400.0,220.0,330.0,120.0,0,0.0,0,0.0,0,0.3,0.0,0.05,0.17,0.9329999999999999,0.0,0.09,0.0,0.002,0.00047000000000000004,44.0,190.0,156.0,116.0,14.0,0.1,0.53,0.015,0.008,0.009000000000000001,0.002,0.0003,0,0,0
"Ice cream, soft serve, chocolate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0007,0,0.0,0,0.0,0.0,0.0,0.0,0.095,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, chocolate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0002,0,0.0,0,0.0,0.0,0.0,0.0,0.226,0.5539999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, chocolate, light",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0001,0,0.0,0,0.0,0.0,0.0,0.0,0.126,0.24600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, chocolate, light, no sugar added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0001,0,0.0,0,0.0,0.0,0.0,0.0,0.111,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, chocolate, rich",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0003,0,0.0,0,0.0,0.0,0.0,0.0,0.182,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, french vanilla, soft-serve",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0007,0,0.0,0,0.0,0.0,0.0,0.0,0.095,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, regular, low carbohydrate, chocolate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0002,0,0.0,0,0.0,0.0,0.0,0.0,0.226,0.5539999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, regular, low carbohydrate, vanilla",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0002,0,0.0,0,0.0,0.0,0.0,0.0,0.11599999999999999,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, strawberry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.17,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, vanilla",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0002,0,0.0,0,0.0,0.0,0.0,0.0,0.11599999999999999,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, vanilla, fat free",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, vanilla, light",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0001,0,0.0,0,0.0,0.0,0.0,0.0,0.136,0.48100000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, vanilla, light, no sugar added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0001,0,0.0,0,0.0,0.0,0.0,0.0,0.07400000000000001,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, vanilla, light, soft-serve",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.11800000000000001,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Ice creams, vanilla, rich",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0003,0,0.0,0,0.0,0.0,0.0,0.0,0.08199999999999999,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Imitation cheese, american or cheddar, low cholesterol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Incaparina, dry mix (corn and soy flours), unprepared",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,27.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Infant Formula, MEAD JOHNSON, ENFAMIL GENTLEASE LIPIL, with iron, prepared from powder",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.001,0,0.0,0,0.0,0.0,0.0,0.0,0.66,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
