,Phenylalanine,Valine,Threonine,Tryptophan,Methionine,Leucine,Isoleucine,Lysine,Histidine,Alpha-linolenic acid,Linolenic acid,"Vitamin A, total","Vitamin C, total","Vitamin E, total",Vitamin D,"Vitamin K, phylloquinone (K1)",Vitamin B1 (as thiamin hydrochloride),Vitamin B2 (riboflavin),Vitamin B3,Vitamin B5,"Vitamin B6 (as pyridoxinehydrochloride), total",Vitamin B7,Vitamin B9,Vitamin B12 (as cyanocobalamin),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Magnesium (Mg),Iron (Fe),Zinc (Zn),Iodine (I),Manganese (Mn),Copper (Cu),Chromium (Cr),Selenium (Se),Cl,Mo,Co
"Halibut, greenland, smoked",550.0,790.0,600.0,100.0,450.0,1000.0,690.0,1200.0,260.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Game meat, bison, ground, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Cherries, sour, red, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.4,0.14300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Dogfish, piked, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00037999999999999997,0,0.0,0.65,0,0.0,0.052000000000000005,0.14,5.2,0.69,0.0,0.0,0.0032,0.0018,100.0,223.0,13.0,253.0,20.0,1.32,0.52,0.26,0.02,0.1,0.0005,0.0336,0,0,0
"Rosemary, fresh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Almond, raw",1200.0,1100.0,630.0,210.0,190.0,1500.0,950.0,670.0,550.0,0,0.0,0,0.8,24.0,0,0.0,0.275,0.8,4.0,0.47,0.06,0.4,0.096,0.0,2.0,725.0,256.0,491.0,265.0,4.5,3.3,0.0002,2.5,0.78,0.012,0.002,0,0,0
Cod liver oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0,0.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.15,0.0,0.08,0.07400000000000001,0.06,0.4,0.002,0.006999999999999999,0.0,5e-06,0,0,0
Vodka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.005,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0,0,0
"Chard, swiss, raw",110.0,110.0,84.0,17.0,19.0,130.0,150.0,98.0,35.0,0,0.0,0,30.0,0.0,0,0.0,0.04,0.09,0.4,0.172,0.099,0.0,0.013999999999999999,0.0,213.0,379.0,51.0,46.0,81.0,1.8,0.36,0.0,0.366,0.179,0.0,0.0,0,0,0
"Mangosteen, canned, syrup pack",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.28600000000000003,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"McDONALD'S, FILET-O-FISH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Baguette, wheat with rye, high fat seeds, industrial product",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.5,0,0.0,0.18,0.056,1.2,0.33,0.147,3.7,0.036,0.0,568.0,163.0,62.0,124.0,36.0,1.4,1.0,0.023,0.0,0.17,0.0,0.0052,0,0,0
"Hyacinth-beans, immature seeds, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.52,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Bear, black, meat (Alaska Native)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Seaweed, agar, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.055,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Rice cake, cracker (include hain mini rice cakes)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Headcheese, pork",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0009,0,0.0,0.0,0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, perch, mixed species, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.003,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Redfish, ocean perch, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.9,0,0.0,0.05,0.05,1.2,0.0,0.0,0.0,0.0,0.0,113.0,323.0,22.9,175.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0012,0.0563,0,0,0
"Game meat, rabbit, domesticated, composite of cuts, cooked, stewed",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Marmalade, strawberry",17.0,22.0,17.0,6.0,8.0,30.0,18.0,26.0,9.0,0,0.0,0,14.0,0.2,0,0.0,0.0,0.035,0.2,0.21,0.03,1.8,0.005,0.0,18.0,44.0,25.0,13.0,4.0,0.5,0.027000000000000003,0.0014,0.021,0.12,0.003,0.0003,0,0,0
"Collards, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.742,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Pigeonpeas, immature seeds, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.2,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, salmon, chum, canned, drained solids with bone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0096,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Loquat, raw",14.0,21.0,15.0,5.0,4.0,26.0,15.0,23.0,7.0,0,0.0,0,1.0,0.0,0,0.0,0.019,0.024,0.18,0.0,0.0,0.0,0.0,0.0,1.0,266.0,16.0,27.0,13.0,0.28,0.05,0.0,0.14800000000000002,0.04,0.0,0.0,0,0,0
"Quinoa, uncooked",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.52,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Shrimp, boiled, shell removed",730.0,890.0,650.0,190.0,480.0,1300.0,890.0,1500.0,350.0,0,0.0005,0,1.5,4.0,0,0.0,0.06,0.045,1.5,0.28,0.125,1.0,0.02,0.0017,578.0,83.6,86.0,113.0,27.9,0.259,1.71,0.0141,0.053,0.40700000000000003,0.00156,0.0223,0,0,0
"Lemon, raw",18.0,18.0,7.0,2.0,7.0,12.0,14.0,25.0,7.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, mullet, striped, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0015,0,0.0,0.0,0,0.0,0.0,0.0,5.2,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Game meat, opossum, cooked, roasted",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,8.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Oil, cocoa butter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Spotted catfish, fillet, raw",640.0,900.0,740.0,170.0,510.0,1300.0,770.0,1500.0,360.0,0,0.0013,0,0.0,2.4,0,0.0,0.18,0.045,2.5,0.57,0.35,0.0,0.001,0.0022,105.0,282.0,35.0,180.0,25.0,1.0,0.0,0.06,0.0,0.0,0.0,0.0,0,0,0
"Fish, tuna, fresh, bluefin, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0057,0,0.0,0.0,0,0.0,0.0,0.0,8.654,1.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Desserts, flan, caramel custard, prepared-from-recipe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.08199999999999999,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, salmon, chinook, smoked",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0171,0,0.0,0.0,0,0.0,0.0,0.0,4.72,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Yautia (tannier), raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.667,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Octopus, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.001,0,0.0,2.1,0,0.0,0.067,0.073,3.2,0.0,0.36,0.0,0.01,0.01,363.0,232.0,28.0,109.0,30.0,1.5,1.62,0.02,0.01,0.0,0.002,0.026000000000000002,0,0,0
"Mountain yam, hawaii, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.48100000000000004,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Sourdock, young leaves (Alaska Native)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Pepper, sweet, canned",24.0,37.0,26.0,5.0,6.0,32.0,24.0,37.0,13.0,0,0.0,0,46.5,0.0,0,0.0,0.025,0.03,0.0,0.0,0.0,0.0,0.052000000000000005,0.0,1369.0,146.0,41.0,20.0,15.0,0.8,0.18,0.0,0.0,0.13,0.0,0.0,0,0,0
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.867,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Beef stew, canned entree",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0959999999999999,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Beet, red, canned",9.0,26.0,18.0,5.0,5.0,21.0,19.0,22.0,10.0,0,0.0,0,4.1,0.08,0,0.0002,0.01,0.04,0.157,0.1,0.05,0.0,0.037000000000000005,0.0,194.0,330.0,22.7,24.2,15.0,0.7,0.31,0.0005,0.72,0.21,0.005,0.0002,0,0,0
"Bouillon, beef, concentrated, cube",190.0,380.0,250.0,33.0,46.0,330.0,230.0,440.0,380.0,0,0.0,0,0.0,0.0,0,0.0,0.05,3.4,8.8,0.0,0.33,0.0,0.0,0.0006,22500.0,511.0,25.0,360.0,43.3,24.5,1.8,0.39,0.68,0.71,0.05,0.0,0,0,0
"Soursop, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.9,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Coffee, instant, with chicory, powder",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,21.667,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Dandelion, leaves, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,40.0,0.0,0,0.0,0.19,0.14,0.8,0.0,0.0,0.0,0.0,0.0,76.0,0.0,150.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Snail, edible, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,250.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Game meat, buffalo, water, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Asparagus, all types, raw",52.0,89.0,49.0,15.0,22.0,89.0,55.0,80.0,34.0,0,0.0,0,12.0,0.3,0,0.039,0.11,0.09,1.0,0.07,0.06,0.2,0.15,0.0,6.4,202.0,20.0,52.0,8.9,0.5,0.44,0.00015,0.0,0.055,0.0,0.001,0,0,0
"Milk shakes, thick chocolate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.001,0,0.0,0.0,0,0.0,0.0,0.0,0.124,0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Kamut, uncooked",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6.35,0.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Anchovy, pickled, canned",580.0,790.0,560.0,140.0,410.0,1100.0,710.0,1100.0,300.0,0,0.014,0,0.0,0.9,0,0.0,0.006,0.12,1.1,0.0,0.175,0.0,0.016,0.0035,3606.0,165.0,145.0,210.0,18.3,1.8,3.4,0.03,0.1,0.16,0.002,0.02,0,0,0
"Cucumber, raw",17.0,22.0,16.0,5.0,9.0,28.0,18.0,23.0,8.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Spices, cloves, ground",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.56,0.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Mushrooms, shiitake, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0004,0,0.0,0.0,0,0.0,0.0,0.0,3.877,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Passion fruit, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,30.0,0.0,0,0.0,0.0,0.13,1.5,0.0,0.0,0.0,0.0,0.0,28.0,348.0,6.23,69.2,29.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Peas, chick/garbanzo, dry, raw",1200.0,910.0,780.0,160.0,260.0,1500.0,910.0,1400.0,560.0,0,0.0,0,3.0,3.1,0,0.264,0.5,0.15,1.5,0.0,0.41700000000000004,0.0,0.18,0.0,40.0,800.0,124.0,300.0,160.0,6.4,1.0,0.0006,0.0,0.76,0.0076,0.002,0,0,0
"Cucumber, large, pickled",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,4.0,0.1,0,0.0,0.01,0.02,0.04,0.1,0.01,0.4,0.008,0.0,291.0,99.0,15.3,14.8,6.5,0.55,0.18,0.001,0.085,0.057,0.0017,0.0003,0,0,0
"Rennin, chocolate, dry mix, prepared with 2% milk",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0009,0,0.0,0.0,0,0.0,0.0,0.0,0.10800000000000001,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Milk, skimmed, with chocolate",180.0,250.0,150.0,49.0,90.0,340.0,210.0,320.0,100.0,0,7.5e-05,0,0.0,0.013000000000000001,0,0.0,0.033,0.177,0.13,0.36,0.03,2.0,0.00472,7e-05,45.1,211.0,119.0,98.0,21.6,0.35,0.5,0.0243,0.01,0.15,5.2000000000000004e-05,0.0013,0,0,0
"Fast foods, enchilada, with cheese",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.17,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Lima beans, immature seeds, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.474,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Salmonberries, raw (Alaska Native)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.466,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Crayfish, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0005,0,0.0,1.5,0,0.0,0.01,0.04,1.9,0.0,2.1,0.0,0.0,0.0027,928.0,138.0,58.0,110.0,26.8,1.4,1.31,0.03,0.04,0.24,0.0011,0.0144,0,0,0
"Pie, apple, commercially prepared, enriched flour",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.263,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fast foods, potato, baked and topped with cheese sauce",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.13,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish oil, hydrogenated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, smelt, rainbow, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0008,0,0.0,0.0,0,0.0,0.0,0.0,1.45,0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Egg custards, dry mix, prepared with whole milk",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0012,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Oil, canola",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Turtle, green, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Dock, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.040999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Rye flour, dark, whole meal",420.0,510.0,330.0,110.0,150.0,610.0,350.0,380.0,230.0,0,0.0,0,0.0,0.8,0,0.0,0.33,0.106,1.7,0.49,0.28,6.0,0.0742,0.0,5.11,438.0,33.3,301.0,92.6,2.8,2.8,0.0046,2.16,0.317,0.004,0.0015,0,0,0
"Mushrooms, oyster, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0007,0,0.0,0.0,0,0.0,0.0,0.0,4.956,1.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Smelt, dried (Alaska Native)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5.97,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Charr, fillet, smoked",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.009000000000000001,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340.0,460.0,25.0,300.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Date, dried",58.0,64.0,54.0,54.0,26.0,86.0,45.0,54.0,29.0,0,0.0,0,3.0,0.0,0,0.0,0.03,0.09,1.2,0.78,0.13,0.0,0.021,0.0,6.0,643.0,50.9,56.0,54.0,1.0,5.1,0.0018,0.4,0.26,0.08,0.002,0,0,0
"Butter oil, anhydrous",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0018,0,0.0,0.0,0,0.0,0.0,0.0,0.003,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Cheese, Blue and white mould, 70 % fidm.",640.0,840.0,430.0,170.0,350.0,1100.0,680.0,990.0,350.0,0,0.000411,0,0.0,1.13,0,0.0,0.04,0.5,1.0,1.73,0.23,1.5,0.036000000000000004,0.00123,621.0,96.7,590.0,270.0,23.0,0.14,5.1,0.0138,0.035,0.07,0.00028,0.004,0,0,0
"Mashu roots, raw (Alaska Native)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Alcoholic beverage, rice (sake)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
